"","date.local","location","value","unit","country"
"6118","2016-01-31T20:00:00+01:00","Kollumerwaard-Hooge Zuidwal",2.21483375,"µg/m³","NL"
"6119","2016-01-31T20:00:00+01:00","Veldhoven-Europalaan",5.76301222222222,"µg/m³","NL"
"6120","2016-02-01T00:30:00+05:30","US Diplomatic Post: Hyderabad",135,"µg/m³","IN"
"6121","2016-02-01T00:30:00+05:30","US Diplomatic Post: Kolkata",228,"µg/m³","IN"
"6122","2016-02-01T00:30:00+05:30","US Diplomatic Post: Chennai",-999,"µg/m³","IN"
"6123","2016-01-31T20:00:00+01:00","Reja",8.7,"µg/m³","PL"
"6124","2016-01-31T20:00:00+01:00","Marszałkowska",15.5,"µg/m³","PL"
"6125","2016-01-31T20:00:00+01:00","Komunikacyjna",15.3,"µg/m³","PL"
"6126","2016-02-01T02:00:00+07:00","US Diplomatic Post: Jakarta South",19,"µg/m³","ID"
"6127","2016-02-01T02:00:00+07:00","US Diplomatic Post: Jakarta Central",5,"µg/m³","ID"
"6128","2016-02-01T02:00:00+07:00","US Diplomatic Post: Hanoi",16,"µg/m³","VN"
"6129","2016-02-01T03:00:00+08:00","Tolgoit",375.5,"µg/m³","MN"
"6130","2016-01-31T20:00:00+01:00","Tochtermana",12.3,"µg/m³","PL"
"6131","2016-01-31T20:00:00+01:00","Zegrzyńska",13.5,"µg/m³","PL"
"6132","2016-01-31T20:00:00+01:00","Targówek",8.9,"µg/m³","PL"
"6133","2016-02-01T00:30:00+05:30","US Diplomatic Post: New Delhi",99,"µg/m³","IN"
"6134","2016-02-01T04:00:00+08:00","Beijing US Embassy",12,"µg/m³","CN"
"6135","2016-01-31T21:00:00+01:00","Ursynów",12,"µg/m³","PL"
"6136","2016-01-31T21:00:00+01:00","Wekerom-Riemterdijk",4.73724,"µg/m³","NL"
"6137","2016-01-31T21:00:00+01:00","Groningen-Europaweg",2.94196166666667,"µg/m³","NL"
"6138","2016-01-31T21:00:00+01:00","Konarskiego",18.3,"µg/m³","PL"
"6139","2016-01-31T17:00:00-03:00","Valparaiso",10.49,"µg/m³","CL"
"6140","2016-01-31T21:00:00+01:00","Rotterdam-Oost Sidelinge A13",6.975,"µg/m³","NL"
"6141","2016-01-31T21:00:00+01:00","De Zilk-Vogelaarsdreef",4.00749583333333,"µg/m³","NL"
